tourney,id,winner_name,wins
Hamburg Masters 1990,4,Thomas Muster,0
Hamburg Masters 1990,4,Michael Chang,0
Hamburg Masters 1990,4,Boris Becker,0
Hamburg Masters 1990,4,Jim Courier,0
Hamburg Masters 1990,4,Sergi Bruguera,0
Hamburg Masters 1990,4,Karel Novacek,0
Hamburg Masters 1990,4,Emilio Sanchez,0
Hamburg Masters 1990,4,Guy Forget,0
Hamburg Masters 1990,4,Pete Sampras,0
Hamburg Masters 1990,4,Goran Ivanisevic,0
Hamburg Masters 1990,4,Michael Stich,0
Hamburg Masters 1990,4,Mikael Pernfors,0
Hamburg Masters 1990,4,Andrei Medvedev,0
Hamburg Masters 1990,4,Roberto Carretero,0
Hamburg Masters 1990,4,Wayne Ferreira,0
Hamburg Masters 1990,4,Thomas Enqvist,0
Hamburg Masters 1990,4,Marcelo Rios,0
Hamburg Masters 1990,4,Alex Corretja,0
Hamburg Masters 1990,4,Chris Woodruff,0
Hamburg Masters 1990,4,Petr Korda,0
Hamburg Masters 1990,4,Carlos Moya,0
Hamburg Masters 1990,4,Albert Costa,0
Hamburg Masters 1990,4,Patrick Rafter,0
Hamburg Masters 1990,4,Richard Krajicek,0
Hamburg Masters 1990,4,Greg Rusedski,0
Hamburg Masters 1990,4,Mark Philippoussis,0
Hamburg Masters 1990,4,Gustavo Kuerten,0
Hamburg Masters 1990,4,Thomas Johansson,0
Hamburg Masters 1990,4,Cedric Pioline,0
Hamburg Masters 1990,4,Magnus Norman,0
Hamburg Masters 1990,4,Marat Safin,0
Hamburg Masters 1990,4,Juan Carlos Ferrero,0
Hamburg Masters 1990,4,Albert Portas,0
Hamburg Masters 1990,4,Andrei Pavel,0
Hamburg Masters 1990,4,Tommy Haas,0
Hamburg Masters 1990,4,Sebastien Grosjean,0
Hamburg Masters 1990,4,Lleyton Hewitt,0
Hamburg Masters 1990,4,Roger Federer,0
Hamburg Masters 1990,4,Guillermo Canas,0
Hamburg Masters 1990,4,Felix Mantilla,0
Hamburg Masters 1990,4,Guillermo Coria,0
Hamburg Masters 1990,4,Andy Roddick,0
Hamburg Masters 1990,4,Tim Henman,0
Hamburg Masters 1990,4,Rafael Nadal,0
Hamburg Masters 1990,4,Tomas Berdych,0
Hamburg Masters 1990,4,Tommy Robredo,0
Hamburg Masters 1990,4,Nikolay Davydenko,0
Hamburg Masters 1990,4,Novak Djokovic,0
Hamburg Masters 1990,4,David Nalbandian,0
Hamburg Masters 1990,4,Andy Murray,0
Hamburg Masters 1990,4,Jo-Wilfried Tsonga,0
Hamburg Masters 1990,4,Ivan Ljubicic,0
Hamburg Masters 1990,4,Robin Soderling,0
Hamburg Masters 1990,4,David Ferrer,0
Hamburg Masters 1990,4,Stan Wawrinka,0
Hamburg Masters 1990,4,Marin Cilic,0
Hamburg Masters 1990,4,Alexander Zverev,0
Hamburg Masters 1990,4,Grigor Dimitrov,0
Hamburg Masters 1990,4,Jack Sock,0
Hamburg Masters 1990,4,Juan Martin del Potro,0
Hamburg Masters 1990,4,John Isner,0
Hamburg Masters 1990,4,Karen Khachanov,0
