year,id,winner_name,wins,rank,wins_lbl
Canada Masters 1991,15,Michael Chang,1,7, 1
Canada Masters 1991,15,Boris Becker,1,8, 1
Canada Masters 1991,15,Jim Courier,2,3, 2
Canada Masters 1991,15,Sergi Bruguera,1,9, 1
Canada Masters 1991,15,Karel Novacek,1,10, 1
Canada Masters 1991,15,Emilio Sanchez,1,11, 1
Canada Masters 1991,15,Guy Forget,0,12, 0
Canada Masters 1991,15,Pete Sampras,0,13, 0
Canada Masters 1991,15,Goran Ivanisevic,0,14, 0
Canada Masters 1991,15,Michael Stich,0,15, 0
Cincinnati Masters 1991,16,Stefan Edberg,3,1, 3
Cincinnati Masters 1991,16,Andre Agassi,1,4, 1
Cincinnati Masters 1991,16,Andrei Chesnokov,2,2, 2
Cincinnati Masters 1991,16,Juan Aguilera,1,5, 1
Cincinnati Masters 1991,16,Thomas Muster,1,6, 1
Cincinnati Masters 1991,16,Michael Chang,1,7, 1
Cincinnati Masters 1991,16,Boris Becker,1,8, 1
Cincinnati Masters 1991,16,Jim Courier,2,3, 2
Cincinnati Masters 1991,16,Sergi Bruguera,1,9, 1
Cincinnati Masters 1991,16,Karel Novacek,1,10, 1
Cincinnati Masters 1991,16,Emilio Sanchez,1,11, 1
Cincinnati Masters 1991,16,Guy Forget,1,12, 1
Cincinnati Masters 1991,16,Pete Sampras,0,13, 0
Cincinnati Masters 1991,16,Goran Ivanisevic,0,14, 0
Cincinnati Masters 1991,16,Michael Stich,0,15, 0
Stockholm Masters 1991,17,Stefan Edberg,3,1, 3
Stockholm Masters 1991,17,Andre Agassi,1,5, 1
Stockholm Masters 1991,17,Andrei Chesnokov,2,2, 2
Stockholm Masters 1991,17,Juan Aguilera,1,6, 1
Stockholm Masters 1991,17,Thomas Muster,1,7, 1
Stockholm Masters 1991,17,Michael Chang,1,8, 1
Stockholm Masters 1991,17,Boris Becker,2,3, 2
Stockholm Masters 1991,17,Jim Courier,2,4, 2
Stockholm Masters 1991,17,Sergi Bruguera,1,9, 1
Stockholm Masters 1991,17,Karel Novacek,1,10, 1
Stockholm Masters 1991,17,Emilio Sanchez,1,11, 1
Stockholm Masters 1991,17,Guy Forget,1,12, 1
Stockholm Masters 1991,17,Pete Sampras,0,13, 0
Stockholm Masters 1991,17,Goran Ivanisevic,0,14, 0
Stockholm Masters 1991,17,Michael Stich,0,15, 0
Paris Masters 1991,18,Stefan Edberg,3,1, 3
Paris Masters 1991,18,Andre Agassi,1,6, 1
Paris Masters 1991,18,Andrei Chesnokov,2,2, 2
Paris Masters 1991,18,Juan Aguilera,1,7, 1
Paris Masters 1991,18,Thomas Muster,1,8, 1
Paris Masters 1991,18,Michael Chang,1,9, 1
Paris Masters 1991,18,Boris Becker,2,3, 2
Paris Masters 1991,18,Jim Courier,2,4, 2
Paris Masters 1991,18,Sergi Bruguera,1,10, 1
Paris Masters 1991,18,Karel Novacek,1,11, 1
Paris Masters 1991,18,Emilio Sanchez,1,12, 1
Paris Masters 1991,18,Guy Forget,2,5, 2
Paris Masters 1991,18,Pete Sampras,0,13, 0
Paris Masters 1991,18,Goran Ivanisevic,0,14, 0
Paris Masters 1991,18,Michael Stich,0,15, 0
Indian Wells Masters 1992,19,Stefan Edberg,3,1, 3
Indian Wells Masters 1992,19,Andre Agassi,1,7, 1
Indian Wells Masters 1992,19,Andrei Chesnokov,2,2, 2
Indian Wells Masters 1992,19,Juan Aguilera,1,8, 1
Indian Wells Masters 1992,19,Thomas Muster,1,9, 1
Indian Wells Masters 1992,19,Michael Chang,2,3, 2
Indian Wells Masters 1992,19,Boris Becker,2,4, 2
Indian Wells Masters 1992,19,Jim Courier,2,5, 2
Indian Wells Masters 1992,19,Sergi Bruguera,1,10, 1
Indian Wells Masters 1992,19,Karel Novacek,1,11, 1
Indian Wells Masters 1992,19,Emilio Sanchez,1,12, 1
